nome,partido,estado,inten??o de voto,O sr. considera que a proposta tem muitas exce??es? Se considera que sim, quais tiraria?,O sr. considera que a proposta ? rigorosa demais ao limitar as despesas? Se acha que sim, o que deve ser feito para afrouxar a regra?,observa??es,email,id
Augusta Brito,PT,CE,A favor,,,(61) 3303-5940  ,sen.augustabrito@senado.leg.br,6350
Conf?cio Moura,MDB,RO,A favor,,,(61) 3303-2470 / 2163 Isis ass de imp,sen.confuciomoura@senado.leg.br,475
Davi Alcolumbre,UNI?O,AP,A favor,,,(61) 3303-6717 / 6720,sen.davialcolumbre@senado.leg.br,3830
Humberto Costa,PT,PE,A favor,,,,sen.humbertocosta@senado.leg.br,5008
Jaques Wagner,PT,BA,A favor,,,,sen.jaqueswagner@senado.leg.br,581
Jorge Kajuru,PSB,GO,A favor,,,Senador votar? com o governo ,sen.jorgekajuru@senado.leg.br,5895
Marcelo Castro,MDB,PI,A favor,,,,sen.marcelocastro@senado.leg.br,742
Paulo Paim,PT,RS,A favor,,,,sen.paulopaim@senado.leg.br,825
Renan Calheiros,MDB,AL,A favor,,,,sen.renancalheiros@senado.leg.br,70
Rog?rio Carvalho,PT,SE,A favor,,,,sen.rogeriocarvalho@senado.leg.br,5352
S?rgio Petec?o,PSD,AC,A favor,,,,sen.sergiopetecao@senado.leg.br,4560
Teresa Leit?o,PT,PE,A favor,,,,sen.teresaleitao@senado.leg.br,6338
Weverton,PDT,MA,A favor,,,,sen.wevertonrocha@senado.leg.br,5411
Fabiano Contarato,PT,ES,A favor,,,,sen.fabianocontarato@senado.leg.br,5953
Rodrigo Pacheco,PSD,MG,A favor,,,,sen.rodrigopacheco@senado.leg.br,5732
Alan Rick,UNI?O,AC,A favor com ressalvas,,,(61) 3303-6333 (61) 991312165 Jane ass imp,sen.alanrick@senado.leg.br,5672
Alessandro Vieira,PSDB,SE,A favor com ressalvas,,,(61) 3303-9011 / 9014 / 9019. Sabrina (61) 981523205,sen.alessandrovieira@senado.leg.br,5982
Beto Faro,PT,PA,A favor com ressalvas,,,(61) 3303-5220,sen.betofaro@senado.leg.br,4639
Chico Rodrigues,PSB,RR,A favor com ressalvas,,,(61) 3303-2281 (61) 999718748,sen.chicorodrigues@senado.leg.br,470
Ciro Nogueira,PP,PI,A favor com ressalvas,,,(61) 3303-6187 / 6188 / 6183,ciro.nogueira@senado.leg.br,739
Efraim Filho,UNI?O,PB,A favor com ressalvas,,,,sen.efraimfilho@senado.leg.br,4642
Eliziane Gama,PSD,MA,A favor com ressalvas,,,,sen.elizianegama@senado.leg.br,5718
